"PacsoftBox shipping module developed by Nybohansen ApS","PacsoftBox forsendelsesmodul udviklet af Nybohansen ApS"
"Version number","Version nummer"
"License key","Licens nøgle"
"Enabled","Aktiv"
"GUID recieved from PacsoftBox","GUID modtaget fra PacsoftBox","GUID modtaget fra PacsoftBox"
"Title","Titel"
"Method Name","Navn"
"Calculate Handling Fee","Beregn håndteringsgebyr som"
"Handling fee","Håndteringsgebyr"
"Free shipping with minimum order amount","Brug fri fragt"
"Minimum order amount for free shipping","Minimum subtotal der udløser fri fragt"
"Print return label","Print returneringslabel"
"Show method if not applicable","Vis metode selvom den ikke kan bruges"
"Sort order","Sorteringsorden"
"Manage Rates!","Fragtrate opsætning"
"Zip range","Postnummer interval"
"Function","Funktion"
"Condition range","Værdi interval"
"Parcel size","Størrelse af pakke"
"Manage rates","Pacsoft fragtrate opsætning"
"Enter the zip code, to find the nearest Pacsoft parcel shop:","Indtast postnummer for at finde det nærmeste Post Danmark afhentningssted:"
"Pacsoft: Create labels, and send the order","Pacsoft: Dan labels, og afsend ordrerne"
"Sorry, no PacsoftBox orders among the chosen","Desværre, der var ingen PacsoftBox ordrer blandt de valgte"
"Pdf file containing %s order(s) have been generated and can be downloaded <a href=""%s"" target=""_blank"" download=""labels.pdf"">here</a>.","Pdf fil indeholdende %s ordre(r) er blevet genereret og kan hentes <a href=""%s"" target=""_blank"" download=""labels.pdf"">her</a>."
"Manage Rates","Fragtrate opsætning"
"Documentation","Dokumentation"
"http://magentomoduler.dk/documentation/pacsoft_2_0_0.pdf","http://magentomoduler.dk/documentation/pacsoft_2_0_0.pdf"
"Small", "Lille"
"Medium", "Mellem"
"Large", "Stor"
"Weight vs. Destination", "Vægt mod destination"
"Price vs. Destination", "Pris mod destination"
"Number of Items vs. Destination", "Antal varer mod destination"
"Percentage is percentage of shipping value cost, not order subtotal!","Procent er en procent af fragtraten, ikke subtotalen!"
"Pacsoft shipping module","Pacsoft forsendelsesmodul"
"Remember to save before setting up rates!","Husk at gemme inden du sætter fragtrater op!"
"Only change this, if you know what you're doing!","Det burde ikke være nødvendigt at ændre denne indstilling!"
"Save shipping rate","Gem fragtrate"
"Rate Information","Rate Information"
"Name of person who do the pickup:", "Navn på personen der afhenter pakken:"
"No parcel shops in this zip","Der findes desværre ingen pakkeshops i det valgte postnummer"
"Shipping module setup","Forsendelses opsætning"
"Servicepoints","Afhentningssteder"
"Show the parcel shops as","Vis afhentningssteder som"
"Cache the servicepoints for faster retrieval","Gem afhentningssteder i cachen for hurtigere hentning"
"The cache will live for 24 hours before updating","Cachen har en levetid på 24 timer"
"Pacsoftonline user information","Pacsoft online brugerinformation"
"Pacsoft user","Pacsoft brugerID"
"Pacsoft pincode","Pacsoft adgangskode"
"Quick Id of sender","Afsenders Kvik ID"
"Weight calculation","Vægt"
"Add weight info to exported orders","Tilføj vægt til labels"
"Weight unit","Webshoppens vægtenhed"
"Services","Services"
"Defines action when the package is undeliverable.","Handling hvis pakken ikke kan leveres"
"Return to sender","Retur til afsender"
"Treat as abandoned in receiver's country.","Efterlad pakken i modtagerlandet"
"COD Addon","Postopkrævning (COD)"
"COD account","COD konto"
"COD account type","COD konto type"
"Insurance Addon","Forsikring"
"Description of the insured goods","Beskrivelse af de forsikrede varer"
"Link to print","Udprintningslink"
"Send mail containg link to print label","Send e-mail med link til at printe label"
