id|title|description|image_​​link|link|availability|brand|condition|price
diamond230black|"Wharfedale Diamond 230"|"<p><span style=""font-size: medium;""><strong>Elegant og lydmessig imponerende </strong><br /> Den 2&frac12;-veis gulvh&oslash;yttaleren Diamond 230 er like imponerende som sin lillebror 220, men har et enda st&oslash;rre lydbilde og en bass som er b&aring;de dypere og mer detaljrik. Dette kommer selvsagt av at den har et st&oslash;rre kabinettvolum og et ekstra basselement som kun hjelper til i den dypeste bassen. Det er dette konstruksjonsprinsippet som kalles 2&frac12;-veis, og det gir et st&oslash;rre membranomr&aring;de og dermed mer bass, uten &aring; forstyrre harmonien i toveis-prinsippet.</span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;"">Bassporten sitter i bunnen mellom selve h&oslash;yttaleren og foten, og det gir en mykere overgang mellom lufttrykket inni h&oslash;yttaleren og luften i lytterommet, noe som gir lavere forvrengning. Dette gj&oslash;r det ogs&aring; lettere &aring; plassere h&oslash;yttaleren ettersom den &laquo;kobles&raquo; bedre til rommet, og derfor kan man ogs&aring; plassere den n&aelig;r veggen uten &aring; f&aring; den fryktede &laquo;boomen&raquo; som mange andre h&oslash;yttalere avgir.</span></p>
<p><span style=""font-size: medium;""><span style=""color: #000000; font-family: Times New Roman; font-size: medium;""><br /></span> Kabinettet er en h&oslash;yblank, lakkert MDF-sandwich, og sammen med den elegante utf&oslash;relsen passer der sv&aelig;rt godt inn i alle elegante hjem.<br /> Bassenhetene har sterk og lett Kevlar-membran, og diskanten har en b&oslash;lgeleder som gir kvinnevokaler fylde og instrumentenes overtoner ekstra dynamikk.<br /> Det er ganske enkelt en sv&aelig;rt elegant, ekte hi-fi-h&oslash;yttaler til en fantastisk pris.</span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;""><strong>Gjennomg&aring;ende teknikk i hele serien inkluderer:</strong></span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;"">- En unik kabinettkonstruksjon</span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;"">- Et sandwich-bygd MDF-kabinett som resulterer i b&aring;de bedre lyd og et stiligere kabinett.</span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;"">- Lakkert lydskjerm foran</span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;"">- Bassenheter med ekstra store magneter for enda mer presis bass.</span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;"">- Bassrefleksport helt nederst som gir dypere bass, men som ogs&aring; gj&oslash;r det mulig &aring; plassere h&oslash;yttaleren sv&aelig;rt n&aelig;r veggen.</span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;"">- Oppgraderte delingsfiltre</span></p>"|https://hifi-freaks.no/media/catalog/product/d/i/diamond230test.jpg|https://hifi-freaks.no/wharfedale-diamond-230.html|"in stock"|Wharfedale|new|5999.0000
diamond-240|"Wharfedale Diamond 240"|"<p><strong style=""font-size: medium;"">Stor golvh&ouml;gtalare med massor av dynamik</strong></p>
<p><span style=""font-size: medium;"">Med 3-v&auml;gs principen h&aring;lls &ouml;verblicken och klarheten i musiken intakt &auml;ven n&auml;r du spelar komplex musik vid h&ouml;g ljudstyrka. Orsaken &auml;r helt enkelt att n&auml;r det 13 cm stora mellanregistret inte ska hantera basen, kan det koncentrera all energi p&aring; det viktiga mellanregistret.</span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;"">Samtidigt &auml;r de tv&aring; 6&frac12; tums basenheterna mer &auml;n tillr&auml;ckligt l&auml;mpade f&ouml;r att skapa ljudtryck och precision i basen, och tillsammans med reflexporten &aring;terges &auml;nda ner till 35Hz. 25 mm diskanten med v&aring;gledare &rdquo;kopplar&rdquo; extra v&auml;l till luften, s&aring; det fortfarande finns luft och detaljer med n&auml;r man s&auml;tter p&aring; ett bra ljudtryck. Ett ytterst elegant h&ouml;gglans lackat MDF kabinett garanterar en fin integration i eleganta hem.</span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;"">Basreflexportens placering mellan h&ouml;gtalare och fot ger l&auml;gre f&ouml;rvr&auml;ngning och g&ouml;r det m&ouml;jligt att placera h&ouml;gtalarna n&auml;stan &auml;nda uppe mot v&auml;ggen utan att den fina ljudkvaliteten p&aring;verkas negativt.</span></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><span style=""font-size: medium;""><strong><span style=""font-size: large;"">Genomg&aring;ende teknik i hela serien inkluderar:</span><br /><br /></strong></span></p>
<p>&nbsp;</p>
<p><span style=""font-size: medium;"">- En unik kabinettkonstruktion</span></p>
<p>&nbsp;</p>
<p><span style=""font-size: medium;"">- Ett sandwich-byggt MDF kabinett som resulterar i b&aring;de b&auml;ttre ljud och snyggare kabinett.</span></p>
<p>&nbsp;</p>
<p><span style=""font-size: medium;"">- Lackerad frontbaffel</span></p>
<p>&nbsp;</p>
<p><span style=""font-size: medium;"">- Basenheter med extra stora magneter f&ouml;r &auml;nnu precisare bas.</span></p>
<p>&nbsp;</p>
<p><span style=""font-size: medium;"">- Basreflexport l&auml;ngst ner som dels ger djupare bas men som ocks&aring; g&ouml;r det m&ouml;jligt att st&auml;lla h&ouml;gtalaren v&auml;ldigt n&auml;ra v&auml;ggen</span></p>
<p>&nbsp;</p>
<p><span style=""font-size: medium;"">- Uppgraderade delningsfilter</span></p>
<p>&nbsp;</p>"|https://hifi-freaks.no/media/catalog/product/d/i/diamond240top.jpg|https://hifi-freaks.no/wharfedale-diamond-240.html|"in stock"|Wharfedale|new|9999.0000
"Diamond 250"|"Wharfedale Diamond 250"|"<p><span style=""font-size: large;""><strong>Enorm ljudbild - &auml;ven i stora rum!</strong></span></p>
<p><span style=""font-size: medium;"">Med 2 st. 8 ""Kevlar baselement och basreflex-tuning som g&aring;r &auml;nda ner till 32Hz, f&aring;r du hela tonomf&aring;nget med. B&aring;de orgelmusik och storslagen techno och rock &aring;terges med kraft och &ouml;verskott.</span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;"">Samtidigt &auml;r hela tonen och detaljerna naturligtvis p&aring; samma niv&aring; som resten av den prisbel&ouml;nta Diamond-serien. 3-v&auml;gs principen med ett 13 cm Kevlar mellanregister och v&aring;gledarladdade diskantdomar garanterar detaljrikedom och klarhet i toppen och mitten, medan baselementen ger en solid rytm bas.</span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;"">Det h&ouml;gglanslackade kabinettet ger ett elegant utf&ouml;rande och en placering n&auml;ra den bakre v&auml;ggen &auml;r inget problem. Diamond 250 faller naturligt in i inredningen i bara medelstora rum, och samtidigt f&aring;r du ett kraftfullt och medrivande ljud med all din favoritmusik.</span></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><span style=""font-size: medium;""><strong><span style=""font-size: large;"">Genomg&aring;ende teknik i hela serien inkluderar:</span><br /><br /></strong></span></p>
<p>&nbsp;<span style=""font-size: medium;"">- En unik kabinettkonstruktion</span></p>
<p>&nbsp;</p>
<p><span style=""font-size: medium;"">- Ett sandwich-byggt MDF kabinett som resulterar i b&aring;de b&auml;ttre ljud och snyggare kabinett.</span></p>
<p>&nbsp;</p>
<p><span style=""font-size: medium;"">- Lackerad frontbaffel</span></p>
<p>&nbsp;</p>
<p><span style=""font-size: medium;"">- Basenheter med extra stora magneter f&ouml;r &auml;nnu precisare bas.</span></p>
<p>&nbsp;</p>
<p><span style=""font-size: medium;"">- Basreflexport l&auml;ngst ner som dels ger djupare bas men som ocks&aring; g&ouml;r det m&ouml;jligt att st&auml;lla h&ouml;gtalaren v&auml;ldigt n&auml;ra v&auml;ggen</span></p>
<p>&nbsp;</p>
<p><span style=""font-size: medium;"">- Uppgraderade delningsfilter</span></p>
<p>&nbsp;</p>"|https://hifi-freaks.no/media/catalog/product/d/i/diamond250top.jpg|https://hifi-freaks.no/wharfedale-diamond-250.html|"in stock"|Wharfedale|new|13418.0000
"Reva 3"|"Wharfedale Reva 3"|"<p><span style=""font-size: medium;"">Reva-3 &auml;r den mindre av de tv&aring; golvh&ouml;gtalarna i serien som kan anv&auml;ndas i audiofila stereosystem eller ocks&aring; som en del av ett st&ouml;rre surroundsystem. Dess slot laddande portteknik inneb&auml;r att de kan prestera bra &auml;ven n&auml;r de placeras n&auml;ra v&auml;ggen, och de anv&auml;nder sig av Reva Seriens nya egenutvecklade baskoner i glasfiber.</span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: large;""><strong>REVA Serien</strong></span></p>
<p><span style=""font-size: medium;"">Reva-serien &auml;r det senaste utbudet av Audiofila h&ouml;gtalare fr&aring;n Wharfedale, det mest v&auml;lk&auml;nda namnet p&aring; brittiska h&ouml;gtalare. </span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;"">Storbritannien har l&auml;nge varit k&auml;nd &ouml;ver hela v&auml;rlden som hem f&ouml;r h&ouml;gtalarteknik n&auml;r det g&auml;ller innovation och kvalitet. Detta goda rykte har n&aring;gra av v&auml;rldens mest k&auml;nda h&ouml;gtalartillverkare anv&auml;nt m&aring;nga &aring;r p&aring; att bygga upp. Wharfedale, som grundades f&ouml;r &ouml;ver &aring;ttio &aring;r sedan, har alltid g&aring;tt i spetsen f&ouml;r att utveckla detta anseende.</span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;"">Wharfedale Reva &auml;r designad fr&aring;n grunden f&ouml;r att erbjuda toppmodern tonal noggrannhet och musikalisk detalj, och den har tagits fram med en kombination av omfattande forskning i unik element- och kabinett teknik kombinerat med en passion f&ouml;r musik.</span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;"">Fr&aring;n den egenutvecklade glasfiberv&auml;vda basen och mellanregister-elementen till dess 7 lagers pianolack - Reva Serien &auml;r fantastisk inifr&aring;n och ut och kommer att g&ouml;ra din musiksamling och hemmabioupplevelse sp&auml;nnande.</span></p>"|https://hifi-freaks.no/media/catalog/product/r/e/reva3.jpg|https://hifi-freaks.no/wharfedale-reva-3.html|"in stock"|Wharfedale|new|13999.0000
"Reva 1"|"Wharfedale Reva 1"|"<p>Reva 1 &auml;r den minsta modellen i Warfades nya Reva-serie. En kompakt modell som g&ouml;r det v&auml;ldigt bra b&aring;de som front i stereoinst&auml;llningar och i surroundupps&auml;ttning.</p>
<p>&nbsp;</p>
<p>Reve-serien &auml;r helt nykonstruerad, f&ouml;r maximal tonbalans och musikalisk detaljeringsgrad. Wharfdales nya Reva-serie har omfattande unders&ouml;kts i kabinen och enhetstekniken kombinerat med passion f&ouml;r musik. Bara fr&aring;n sin egen fl&auml;tade glasfiberbas / mediumton-enhet till den otroligt vackra sjulagers pianolackytan. Slutresultatet &auml;r en otroligt vacker talare som ser bra ut och kommer att &aring;teruppliva live i din musik och filmsamling. Reva 1 &auml;r den minsta modellen i Warfades nya Reva-serie. En kompakt h&ouml;gtalare som g&ouml;r det v&auml;ldigt bra b&aring;de som front i stereoinst&auml;llningar och i surroundupps&auml;ttning. &nbsp;</p>
<p>&nbsp;</p>
<p>REVA</p>
<p>&nbsp;</p>
<p>Reva &auml;r den senaste serien av Audiofile-h&ouml;gtalare fr&aring;n Wharfdale, Storbritanniens mest k&auml;nda h&ouml;gtalarproducent. England har i m&aring;nga &aring;r erk&auml;nts som ledande inom teknik, innovation och kvalitet. Statusen har byggts i m&aring;nga &aring;r av n&aring;gra av v&auml;rldens mest k&auml;nda h&ouml;gtalare. Wharfdale grundades f&ouml;r &ouml;ver 80 &aring;r sedan och har sedan dess starkt bidragit till att engelska f&ouml;retag fortfarande beh&aring;ller sin marknadsledande st&auml;llning. Serien best&aring;r av Reva-1 och Reva-2 kompakta h&ouml;gtalare och 2 golvmodeller Reva-3 och Reva-4</p>"|https://hifi-freaks.no/media/catalog/product/r/e/reva1.jpg|https://hifi-freaks.no/wharfedale-reva-1.html|"in stock"|Wharfedale|new|4299.0000
"Diamond 225"|"Wharfedale Diamond 225"|"<p><span style=""font-size: medium;"">Storebrodern till Diamond 220, med samma egenskaper som en Diamond 220, men med en 6,5 tums basenhet i st&auml;llet f&ouml;r 5-tums enheten i 220, s&aring; att du f&aring;r b&auml;ttre bas&aring;tergivning.</span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;"">I mer &auml;n 30 &aring;r har Wharfdales v&auml;rldsber&ouml;mda Diamond h&ouml;gtalarserie varit ing&aring;ngen till &auml;kta High Fidelity, och deras oslagbara pris/kvalitet har vunnit flera utm&auml;rkelser &ouml;ver hela v&auml;rlden. Wharfedale har &aring;terigen h&ouml;jt ribban f&ouml;r prisrimliga, h&ouml;gpresterande h&ouml;gtalare.</span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;""><strong>Genomg&aring;ende teknik i hela serien inkluderar:<br /><br /> </strong></span></p>
<p><span style=""font-size: medium;"">- En unik kabinettkonstruktion</span></p>
<p><span style=""font-size: medium;"">- Ett sandwich-byggt MDF kabinett som resulterar i b&aring;de b&auml;ttre ljud och snyggare kabinett.</span></p>
<p><span style=""font-size: medium;"">- Lackerad frontbaffel</span></p>
<p><span style=""font-size: medium;"">- Basenheter med extra stora magneter f&ouml;r &auml;nnu precisare bas.</span></p>
<p><span style=""font-size: medium;"">- Basreflexport l&auml;ngst ner som dels ger djupare bas men som ocks&aring; g&ouml;r det m&ouml;jligt att st&auml;lla h&ouml;gtalaren v&auml;ldigt n&auml;ra v&auml;ggen</span></p>
<p><span style=""font-size: medium;"">- Uppgraderade delningsfilter</span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;"">S&aring; med den nya Diamond 225 du f&aring;r alla de v&auml;lk&auml;nda egenskaperna fr&aring;n Diamond 220 men med en 6,5 tums v&auml;vd Kevlar bas f&ouml;r bas&aring;tergivning &auml;nda ner till 40 Hz.</span></p>"|https://hifi-freaks.no/media/catalog/product/w/h/wharfedale-diamond-225-gallery.jpg|https://hifi-freaks.no/wharfedale-diamond-225.html|"in stock"|Wharfedale|new|4299.0000
"Reva 2"|"Wharfedale Reva 2"|"<p><span style=""font-size: medium;"">Reva-2 er den st&oslash;rre h&oslash;yttaleren for bokhyller i Reva-serien. Ettersom den er noe st&oslash;rre enn Reva-1, h&aring;ndterer den litt mer bass og er ideell for stereoaudiofile installasjoner. Den passer ogs&aring; like bra for surroundanlegg.</span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;""><strong>Lydfunksjoner</strong></span></p>
<p><span style=""font-size: medium;"">Wharfedale Reva er designet fra grunnen av for &aring; tilby topp moderne tonen&oslash;yaktighet og musikalske detaljer, og den er utviklet med en kombinasjon av omfattende forskning p&aring; unik element- og kabinetteknikk og en lidenskap for musikk. Fra den egenutviklede glassfibervevde bassen og mellomregisterelementene til den 7-lags pianolakken, er Reva-serien fantastisk b&aring;de innvendig og utvendig, og kommer til &aring; gj&oslash;re musikksamlingen og hjemmekinoopplevelsen sv&aelig;rt spennende.</span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;""><strong>Reva Range</strong></span></p>
<p><span style=""font-size: medium;"">Reva er det nyeste utvalget av audiofile h&oslash;yttalere fra Wharfedale, det mest kjente merket av britiske h&oslash;yttalere. Storbritannia har lenge v&aelig;rt kjent over hele verden som hjem for h&oslash;yttalerteknikk n&aring;r det gjelder innovasjon og kvalitet. Dette gode ryktet har noen av verdens mest kjente h&oslash;yttalerprodusenter brukt mange &aring;r p&aring; &aring; bygge opp. Wharfedale, som ble grunnlagt for over &aring;tti &aring;r siden, har alltid g&aring;tt i spissen for &aring; utvikle denne anseelsen.</span></p>"|https://hifi-freaks.no/media/catalog/product/r/e/reva2.jpg|https://hifi-freaks.no/wharfedale-reva-2.html|"in stock"|Wharfedale|new|8599.0000
"diamond 210"|"Wharfedale Diamond 210"|"<p><span style=""font-size: medium;"">Wharfedale Diamond 210 &auml;r en kompakt stativh&ouml;gtalare som &auml;r utformad f&ouml;r att leverera h&ouml;gkvalitativ ljudprestanda bakom eller i surroundhemmabiosystem och tv&aring;kanals stereoinstallation n&auml;r utrymme &auml;r begr&auml;nsat.</span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;"">Bas- och mellannegisterelementen &auml;r gjorda av v&auml;vda Kevlar, vilket g&ouml;r att h&ouml;gtalaren kan r&ouml;ra sig enkelt och snabbt.</span></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><strong><span style=""font-size: medium;"">Genom den senaste tekniken ing&aring;r:</span></strong></p>
<p><span style=""font-size: medium;"">&nbsp;</span></p>
<p><span style=""font-size: medium;"">- En unik sk&aring;pstruktur</span></p>
<p><span style=""font-size: medium;"">- Ett sm&ouml;rg&aring;sbyggt MDF-sk&aring;p som resulterar i b&aring;de b&auml;ttre ljud och snyggare sk&aring;p.</span></p>
<p><span style=""font-size: medium;"">- Mjukt fr&auml;mre baffel</span></p>
<p><span style=""font-size: medium;"">- Basenheter med extra stora magneter f&ouml;r &auml;nnu mer exakt bas.</span></p>
<p><span style=""font-size: medium;"">- Basreflexport i botten, vilket ger en djupare bas, men l&aring;ter ocks&aring; h&ouml;gtalaren vara v&auml;ldigt n&auml;ra v&auml;ggen</span></p>
<p><span style=""font-size: medium;"">- Uppgraderade delningsfilter</span></p>"|https://hifi-freaks.no/media/catalog/product/d/i/diamond210.jpg|https://hifi-freaks.no/wharfedale-diamond-210.html|"in stock"|Wharfedale|new|1699.0000
"Jade 5"|"Wharfedale Jade 5"|"<p>&nbsp;</p>
<p>Den nya stereoh&ouml;gtalarna Wharfedale Jade 5 en audiophile kvalitetsgolvst&aring;ende 3-v&auml;gs Aperiodic-h&ouml;gtalare som idealiskt anv&auml;nds i stereohifi-system eller kan kombineras med andra modeller i Jade intervall f&ouml;r att skapa en h&ouml;gpresterande hemmabio-h&ouml;gtalarpaket.</p>
<p>&nbsp;</p>
<p>Wharfedale ingenj&ouml;rer har tittat p&aring; alla delar av konstruktionen och materialen i Jade h&ouml;gtalarutbudet med hj&auml;lp av datorst&ouml;dda verktyg f&ouml;r att maximera ljudytan. Det v&auml;lk&auml;nda, b&ouml;jda och multib&auml;rmade MDF-sk&aring;pet har blivit omarbetat genom att anv&auml;nda Crystalam, ett laminerat material som &auml;r inert, l&aring;g resonans och perfekt anpassat f&ouml;r att minska f&auml;rgens f&auml;rg. Kabinen &auml;r vackert f&auml;rdiga i antingen ett urval av naturliga tr&auml;faner eller piano glans. Driftsenheterna i Jade-serien har ocks&aring; granskats - basdrivrutiner har ett ultra-linj&auml;rt magnet / r&ouml;stspolsystem som &auml;r mycket litet och l&aring;gt f&ouml;rvr&auml;ngt. Den v&auml;vda glas- / kolfibern har naturlig sj&auml;lvd&auml;mpning samtidigt som den &auml;r v&auml;ldigt stel och lyh&ouml;rd, s&aring; att du kan h&ouml;ra hela detaljer och dynamik i musiken.</p>
<p>&nbsp;</p>
<p>Midrange-drivrutiner &auml;r konstruerade med ett material av aluminium / massa-kon med mycket l&aring;g massa men h&ouml;g styvhet, vilket g&ouml;r talaren mycket detaljerad och dynamisk, men aldrig &ouml;verlyst eller tr&ouml;tthet. En ny 25 mm aluminium tweeter &auml;r utrustad med Jade-serien, vilket ger rymlig stereo bildbehandling och skimrande h&ouml;gfrekvenser. En faslinj&auml;r passiv korsning leder r&auml;tt frekvenser till varje f&ouml;rare med nollfaslagring / -ledning, s&aring; att v&aring;gfronten n&aring;r lyssnaren &auml;r koherent f&ouml;r optimal ljudbalans</p>"|https://hifi-freaks.no/media/catalog/product/j/a/jade5.jpg|https://hifi-freaks.no/wharfedale-jade-5.html|"in stock"|Wharfedale|new|14999.0000
"jade 7"|"Wharfedale Jade 7"|"<p>Den nya Wharfedale Jade 7-stereoh&ouml;gtalarna &auml;r en 4-v&auml;gs Aperiodic-h&ouml;gtalare som idealiskt anv&auml;nds i stereohifi-system eller kan kombineras med andra modeller i Jade intervall f&ouml;r att skapa en h&ouml;gpresterande hemmabio-h&ouml;gtalarpaket.</p>
<p>&nbsp;</p>
<p>Wharfedale ingenj&ouml;rer har tittat p&aring; alla delar av konstruktionen och materialen i Jade h&ouml;gtalarutbudet med hj&auml;lp av datorst&ouml;dda verktyg f&ouml;r att maximera ljudytan. Det v&auml;lk&auml;nda, b&ouml;jda och multib&auml;rmade MDF-sk&aring;pet har blivit omarbetat genom att anv&auml;nda Crystalam, ett laminerat material som &auml;r inert, l&aring;g resonans och perfekt anpassat f&ouml;r att minska f&auml;rgens f&auml;rg. Kabinen &auml;r vackert f&auml;rdiga i antingen ett urval av naturliga tr&auml;faner eller piano glans. Driftsenheterna i Jade-serien har ocks&aring; granskats - basdrivrutiner har ett ultra-linj&auml;rt magnet / r&ouml;stspolsystem som &auml;r mycket litet och l&aring;gt f&ouml;rvr&auml;ngt. Den v&auml;vda glas- / kolfibern har naturlig sj&auml;lvd&auml;mpning samtidigt som den &auml;r v&auml;ldigt stel och lyh&ouml;rd, s&aring; att du kan h&ouml;ra hela detaljer och dynamik i musiken.</p>
<p>&nbsp;</p>
<p>Midrange-drivrutiner &auml;r konstruerade med ett material av aluminium / massa-kon med mycket l&aring;g massa men h&ouml;g styvhet, vilket g&ouml;r talaren mycket detaljerad och dynamisk, men aldrig &ouml;verlyst eller tr&ouml;tthet. En ny 25 mm aluminium tweeter &auml;r utrustad med Jade-serien, vilket ger rymlig stereo bildbehandling och skimrande h&ouml;gfrekvenser. En faslinj&auml;r passiv korsning leder r&auml;tt frekvenser till varje f&ouml;rare med nollfaslagring / -ledning, s&aring; att v&aring;gfronten n&aring;r lyssnaren &auml;r koherent f&ouml;r optimal ljudbalans.</p>"|https://hifi-freaks.no/media/catalog/product/j/a/jade7.jpg|https://hifi-freaks.no/wharfedale-jade-7.html|"in stock"|Wharfedale|new|19999.0000
